sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001309.520475,437,0.159,-1.070,-67.860
XDA.XsDeviceId,1790001309.536435,438,0.161,-1.070,-67.862
XDA.XsDeviceId,1790001309.552484,439,0.161,-1.072,-67.859
XDA.XsDeviceId,1790001309.568354,440,0.160,-1.070,-67.856
XDA.XsDeviceId,1790001309.584350,441,0.162,-1.071,-67.861
XDA.XsDeviceId,1790001309.600303,442,0.163,-1.070,-67.865
XDA.XsDeviceId,1790001309.616340,443,0.164,-1.070,-67.865
XDA.XsDeviceId,1790001309.632399,444,0.165,-1.069,-67.865
XDA.XsDeviceId,1790001309.648254,445,0.165,-1.069,-67.866
XDA.XsDeviceId,1790001309.664200,446,0.166,-1.069,-67.868
XDA.XsDeviceId,1790001309.680148,447,0.163,-1.068,-67.867
XDA.XsDeviceId,1790001309.712079,448,0.163,-1.069,-67.865
XDA.XsDeviceId,1790001309.728115,449,0.164,-1.071,-67.863
XDA.XsDeviceId,1790001309.744130,450,0.164,-1.070,-67.863
XDA.XsDeviceId,1790001309.760219,451,0.163,-1.069,-67.865
XDA.XsDeviceId,1790001309.775801,452,0.163,-1.070,-67.866
XDA.XsDeviceId,1790001309.791607,453,0.162,-1.070,-67.866
XDA.XsDeviceId,1790001309.807592,454,0.162,-1.072,-67.867
XDA.XsDeviceId,1790001309.823555,455,0.162,-1.070,-67.868
XDA.XsDeviceId,1790001309.839468,456,0.162,-1.069,-67.868
XDA.XsDeviceId,1790001309.855476,457,0.164,-1.070,-67.870
XDA.XsDeviceId,1790001309.870626,458,0.164,-1.071,-67.870
XDA.XsDeviceId,1790001309.886138,459,0.146,-1.060,-67.882
XDA.XsDeviceId,1790001309.899838,460,0.147,-1.061,-67.884
XDA.XsDeviceId,1790001309.914799,461,0.147,-1.060,-67.883
XDA.XsDeviceId,1790001309.930785,462,0.145,-1.060,-67.883
XDA.XsDeviceId,1790001309.946807,463,0.145,-1.058,-67.886
XDA.XsDeviceId,1790001309.978706,464,0.145,-1.059,-67.883
XDA.XsDeviceId,1790001309.994696,465,0.145,-1.059,-67.885
XDA.XsDeviceId,1790001310.010706,466,0.146,-1.059,-67.887
XDA.XsDeviceId,1790001310.026800,467,0.147,-1.059,-67.889
XDA.XsDeviceId,1790001310.042621,468,0.147,-1.059,-67.890
XDA.XsDeviceId,1790001310.058662,469,0.147,-1.058,-67.890
XDA.XsDeviceId,1790001310.074176,470,0.146,-1.060,-67.890
XDA.XsDeviceId,1790001310.090249,471,0.146,-1.058,-67.888
XDA.XsDeviceId,1790001310.106096,472,0.148,-1.058,-67.890
XDA.XsDeviceId,1790001310.122143,473,0.146,-1.057,-67.887
XDA.XsDeviceId,1790001310.138179,474,0.147,-1.057,-67.890
XDA.XsDeviceId,1790001310.153998,475,0.147,-1.057,-67.892
XDA.XsDeviceId,1790001310.170019,476,0.146,-1.057,-67.891
XDA.XsDeviceId,1790001310.185807,477,0.147,-1.057,-67.888
XDA.XsDeviceId,1790001310.201510,478,0.147,-1.056,-67.890
XDA.XsDeviceId,1790001310.217460,479,0.146,-1.057,-67.890
XDA.XsDeviceId,1790001310.233537,480,0.147,-1.057,-67.889
XDA.XsDeviceId,1790001310.249443,481,0.146,-1.056,-67.890
XDA.XsDeviceId,1790001310.265351,482,0.145,-1.056,-67.890
XDA.XsDeviceId,1790001310.281299,483,0.146,-1.057,-67.891
XDA.XsDeviceId,1790001310.297308,484,0.145,-1.056,-67.891
XDA.XsDeviceId,1790001310.313316,485,0.146,-1.056,-67.891
XDA.XsDeviceId,1790001310.345018,486,0.145,-1.057,-67.891
XDA.XsDeviceId,1790001310.360784,487,0.145,-1.057,-67.891
